number_of_blank,dificulty,DFS_time_spent,BFS_time_spent,elimination_time_spent,DFS_weight,BFS_weight
37,1,0.1303853988647461,0.007165193557739258,0.002181529998779297,0.476337194442749,0.07205414772033691
37,1,0.08186650276184082,0.019617557525634766,0.009076595306396484,0.15988421440124512,0.1019139289855957
37,1,0.11933255195617676,0.023337364196777344,0.011160135269165039,0.0953216552734375,0.06141161918640137
37,1,0.15435791015625,0.03403067588806152,0.006772518157958984,0.17612385749816895,0.12494993209838867
37,1,0.16957998275756836,0.06704282760620117,0.0021505355834960938,0.08034324645996094,0.8059301376342773
46,2,0.12023401260375977,0.046503543853759766,0.012996196746826172,0.12585091590881348,0.07284283638000488
47,2,0.2410895824432373,0.2649197578430176,0.01819634437561035,0.13104844093322754,0.10460114479064941
46,2,0.4358246326446533,0.15999150276184082,0.021193742752075195,0.28079748153686523,0.11711692810058594
48,2,0.2979109287261963,0.1483287811279297,0.021111726760864258,0.10583329200744629,0.07518887519836426
46,2,0.4808955192565918,0.47730541229248047,0.1084737777709961,0.08023309707641602,0.16199612617492676
54,3,0.49371814727783203,0.3925740718841553,0.1381056308746338,0.3170650005340576,0.43996405601501465
57,3,7.037864685058594,7.307394504547119,6.199861288070679,1.9093472957611084,1.2621853351593018
49,3,0.47141242027282715,0.38861536979675293,0.32074999809265137,0.14781427383422852,0.32033753395080566
55,3,1.1131291389465332,3.65791654586792,0.4288811683654785,0.19393301010131836,0.4441511631011963
53,3,0.27202749252319336,0.8719937801361084,0.4064338207244873,0.20649957656860352,0.449937105178833
56,4,0.41144871711730957,0.46530890464782715,0.26694345474243164,0.8680613040924072,1.0313928127288818
58,4,6.363192319869995,8.64315390586853,3.380904197692871,0.927283525466919,0.4122288227081299
49,4,0.44080686569213867,0.9547750949859619,0.09680724143981934,0.09085941314697266,0.12433385848999023
53,4,0.16296648979187012,0.5979886054992676,0.02991318702697754,0.14452457427978516,0.2257678508758545
54,4,4.395020246505737,10.646780014038086,0.6866843700408936,0.2490847110748291,0.1377246379852295
