number_of_blank,dificulty,DFS_time_spent,BFS_time_spent,elimination_time_spent,DFS_weight,BFS_weight
37,1,0.06419897079467773,0.07665538787841797,0.0026445388793945312,0.14579296112060547,0.20386123657226562
37,1,0.028020143508911133,0.05616950988769531,0.004047393798828125,0.19840025901794434,0.12908363342285156
37,1,0.023630857467651367,0.06386470794677734,0.0032296180725097656,0.20750975608825684,0.13345766067504883
37,1,0.022433996200561523,0.1406538486480713,0.0033600330352783203,0.12982177734375,0.14313459396362305
37,1,0.04242849349975586,0.03794717788696289,0.0026578903198242188,0.13114404678344727,0.14844679832458496
46,2,0.10226655006408691,0.26733970642089844,0.006207704544067383,0.29692578315734863,0.2415752410888672
47,2,0.36556124687194824,1.2964835166931152,0.12293601036071777,0.2021017074584961,0.21326494216918945
46,2,0.7142324447631836,0.9957120418548584,0.10270452499389648,0.2732255458831787,0.33022308349609375
48,2,0.6769158840179443,0.5760257244110107,0.006175518035888672,0.24291324615478516,0.2133934497833252
46,2,2.813514471054077,3.262564182281494,0.37471437454223633,0.37531518936157227,0.23113489151000977
54,3,1.1753606796264648,2.473623514175415,0.9987201690673828,1.3625867366790771,1.438227891921997
57,3,46.316953897476196,50.468924045562744,45.31193256378174,2.2697949409484863,4.194281816482544
49,3,2.1570746898651123,2.1079962253570557,1.4697954654693604,0.4045119285583496,0.599365234375
55,3,7.004099369049072,25.32371950149536,3.5821914672851562,0.35715746879577637,0.963660478591919
53,3,1.8159430027008057,6.151181697845459,2.3571577072143555,0.6225240230560303,0.9221014976501465
56,4,2.8687584400177,3.6933696269989014,2.441476345062256,1.9903252124786377,2.5861809253692627
58,4,47.46842336654663,51.28405237197876,20.753279447555542,0.8173954486846924,1.125225305557251
49,4,2.705583333969116,5.274190187454224,0.8534986972808838,0.3872828483581543,0.24779486656188965
53,4,1.724214792251587,2.683825731277466,0.1806025505065918,0.6419057846069336,0.4914557933807373
54,4,31.85237956047058,53.6497745513916,5.447798490524292,0.5710842609405518,0.36648130416870117
