Time	Value
2016-07-18 01:57:43 PDT	1.0
2016-07-18 02:17:04 PDT	1.0
2016-07-18 02:17:04 PDT	1.0
2016-07-21 01:53:02 PDT	1.0
2016-07-21 04:11:12 PDT	1.0
2016-07-22 04:44:50 PDT	1.0
2016-07-22 04:45:41 PDT	1.0
2016-07-22 04:46:05 PDT	1.0
2016-07-22 04:46:39 PDT	1.0
2016-07-22 04:56:08 PDT	1.0
2016-07-22 04:56:08 PDT	1.0
2016-07-23 20:32:30 PDT	1.0
2016-07-26 04:11:49 PDT	1.0
2016-07-26 04:18:16 PDT	1.0
2016-07-26 04:27:16 PDT	1.0
2016-07-26 04:29:19 PDT	1.0
2016-07-30 17:51:00 PDT	1.0
2016-07-30 17:51:00 PDT	1.0
2016-07-30 18:25:07 PDT	1.0
2016-07-30 19:14:42 PDT	1.0
2016-07-30 19:26:32 PDT	1.0
2016-07-31 18:17:31 PDT	1.0
2016-07-31 18:27:50 PDT	1.0
2016-07-31 19:02:30 PDT	1.0
2016-07-31 19:22:57 PDT	1.0
2016-07-31 19:51:29 PDT	1.0
2016-07-31 19:55:20 PDT	1.0
2016-07-31 19:55:20 PDT	1.0
2016-07-31 19:55:55 PDT	1.0
2016-07-31 19:55:55 PDT	1.0
2016-07-31 19:56:12 PDT	1.0
2016-07-31 20:03:16 PDT	1.0
2016-07-31 20:05:51 PDT	1.0
2016-07-31 20:06:14 PDT	1.0
2016-07-31 20:06:25 PDT	1.0
2016-07-31 20:09:48 PDT	1.0
2016-07-31 20:13:01 PDT	1.0
2016-07-31 20:17:10 PDT	1.0
2016-07-31 20:23:07 PDT	1.0
2016-08-04 04:18:18 PDT	1.0
2016-08-04 04:28:21 PDT	1.0
2016-08-05 19:53:25 PDT	1.0
2016-08-06 17:25:40 PDT	1.0
2016-08-06 17:31:38 PDT	1.0
2016-08-06 19:38:10 PDT	1.0
2016-08-06 19:39:21 PDT	1.0
2016-08-09 04:20:56 PDT	1.0
2016-08-09 04:25:01 PDT	1.0
2016-08-09 04:25:47 PDT	1.0
2016-08-09 04:25:59 PDT	1.0
2016-08-10 03:46:36 PDT	1.0
2016-08-10 04:09:10 PDT	1.0
2016-08-10 04:09:47 PDT	1.0
2016-08-10 04:21:59 PDT	1.0
2016-08-10 04:22:29 PDT	1.0
2016-08-10 04:30:44 PDT	1.0
2016-08-12 06:04:42 PDT	1.0
2016-08-12 06:05:07 PDT	1.0
2016-08-13 18:41:28 PDT	1.0
2016-08-13 18:54:46 PDT	1.0
2016-08-13 19:37:24 PDT	1.0
2016-08-13 19:37:24 PDT	1.0
2016-08-13 19:37:41 PDT	1.0
2016-08-13 20:44:36 PDT	1.0
2016-08-14 04:08:24 PDT	1.0
2016-08-14 04:08:39 PDT	1.0
2016-08-14 04:08:56 PDT	1.0
2016-08-14 04:09:22 PDT	1.0
2016-08-19 04:31:52 PDT	1.0
2016-08-19 06:14:34 PDT	1.0
2016-08-19 06:14:49 PDT	1.0
2016-08-20 05:06:49 PDT	1.0
2016-08-20 05:06:49 PDT	1.0
2016-08-20 05:12:49 PDT	1.0
2016-08-20 05:13:36 PDT	1.0
2016-08-20 05:19:55 PDT	1.0
2016-08-20 05:20:08 PDT	1.0
2016-08-20 05:21:07 PDT	1.0
2016-08-20 05:21:41 PDT	1.0
2016-08-20 05:25:57 PDT	1.0
2016-08-20 05:26:53 PDT	1.0
2016-08-20 05:41:54 PDT	1.0
2016-08-20 05:42:56 PDT	1.0
2016-08-20 05:42:56 PDT	1.0
2016-08-20 05:58:58 PDT	1.0
2016-08-20 06:05:04 PDT	1.0
2016-08-20 06:05:34 PDT	1.0
2016-08-20 06:14:01 PDT	1.0
2016-08-20 06:14:27 PDT	1.0
2016-08-20 06:14:39 PDT	1.0
2016-08-20 17:56:35 PDT	1.0
2016-08-20 17:56:35 PDT	1.0
2016-08-20 18:02:50 PDT	1.0
2016-08-20 18:02:58 PDT	1.0
2016-08-20 20:07:53 PDT	1.0
2016-08-20 20:39:01 PDT	1.0
