Time	Unique Portal ID
2016-07-17 01:16:56 PDT	59
2016-07-17 01:17:00 PDT	59
2016-07-17 01:17:24 PDT	58
2016-07-17 01:21:47 PDT	60
2016-07-17 01:23:37 PDT	61
2016-07-17 01:27:08 PDT	60
2016-07-17 01:27:32 PDT	62
2016-07-17 01:30:39 PDT	58
2016-07-17 01:31:45 PDT	63
2016-07-17 01:31:48 PDT	63
2016-07-17 01:31:51 PDT	63
2016-07-17 01:31:55 PDT	63
2016-07-17 01:31:57 PDT	63
2016-07-17 01:32:01 PDT	63
2016-07-17 01:32:05 PDT	63
2016-07-17 01:32:23 PDT	63
2016-07-17 01:32:32 PDT	63
2016-07-17 01:35:51 PDT	54
2016-07-17 01:39:03 PDT	64
2016-07-17 01:39:22 PDT	64
2016-07-17 01:39:32 PDT	64
2016-07-17 01:39:38 PDT	64
2016-07-17 01:39:42 PDT	64
2016-07-17 01:42:29 PDT	65
2016-07-17 01:45:53 PDT	65
2016-07-17 01:45:57 PDT	65
2016-07-17 01:46:00 PDT	65
2016-07-17 01:46:03 PDT	65
2016-07-17 01:46:15 PDT	65
2016-07-17 01:46:20 PDT	65
2016-07-17 01:46:25 PDT	65
2016-07-17 01:46:55 PDT	65
2016-07-17 01:47:08 PDT	65
2016-07-17 01:47:26 PDT	65
2016-07-17 01:49:33 PDT	11
2016-07-17 01:49:39 PDT	11
2016-07-17 01:49:46 PDT	11
2016-07-17 01:49:48 PDT	11
2016-07-17 01:50:02 PDT	11
2016-07-17 01:50:26 PDT	11
2016-07-17 01:50:29 PDT	66
2016-07-17 01:53:16 PDT	5
2016-07-17 01:57:17 PDT	56
2016-07-17 01:57:36 PDT	56
2016-07-17 01:58:07 PDT	2
2016-07-17 02:00:03 PDT	1
2016-07-17 02:00:08 PDT	3
2016-07-17 02:00:14 PDT	3
2016-07-17 02:00:22 PDT	3
2016-07-17 02:00:28 PDT	3
2016-07-17 02:00:31 PDT	3
2016-07-17 02:00:42 PDT	1
2016-07-17 02:00:53 PDT	1
2016-07-17 02:01:28 PDT	1
2016-07-17 02:01:38 PDT	1
2016-07-17 02:01:56 PDT	1
2016-07-18 00:25:17 PDT	4
