"Candidate ID","Assigned Time","Comment","Rating for Cultural","Rating for Text","Is Duplicate","Duplicate of Portal","Rating for Location","Suggested Location","Rating for Quality","Rating for Safety","One Star Submission","Time","Rating for Uniqueness","What is it?"
"e20263a6d9d6a731b9d0727f292df4a9","2017-10-01 01:57:42 GMT","","3","5","false","","5","","4","5","false","2017-10-01 01:58:07 GMT","4",""
"b29d7af644a694278d44ae400c085808","2017-10-01 01:58:12 GMT","","","","false","","","","","","true","2017-10-01 01:58:30 GMT","",""
"379ec951c196a0d25847713fe2a8dd73","2017-10-01 01:58:33 GMT","","","","false","","","","","","true","2017-10-01 01:58:42 GMT","",""
"5dd0dfce9bd3df5eae5131dc15d5e108","2017-10-01 01:58:45 GMT","","5","5","false","","5","","5","5","false","2017-10-01 01:59:13 GMT","5",""
"48216967ecaf8229a99fc0a48c180db0","2017-10-01 01:59:20 GMT","","5","5","false","","5","","5","5","false","2017-10-01 01:59:38 GMT","5",""
"254b8169bfb0d52237710cdc7dc89ebd","2017-10-01 01:59:42 GMT","","5","5","false","","5","","5","5","false","2017-10-01 02:00:16 GMT","5",""
"397820797e72704e63626d5bbe0dcff1","2017-10-01 06:07:34 GMT","","4","5","false","","5","","5","5","false","2017-10-01 06:08:07 GMT","5",""
"72807fa14193e1c682b12bb1b643663a","2017-10-01 06:08:59 GMT","","","","false","","","","","","true","2017-10-01 06:09:11 GMT","",""
"9b4a5b5ff5e47a670cad8c2eeb850c75","2017-10-01 13:08:05 GMT","","5","5","false","","5","","5","5","false","2017-10-01 13:08:40 GMT","5",""
"f5aa50cb2a66a1818f227f3a77dc82b8","2017-10-01 13:08:56 GMT","","","","false","","","","","","true","2017-10-01 13:10:02 GMT","",""
"4f64b3c08346b95804038ef6204578c0","2017-10-01 13:10:07 GMT","","","","false","","","","","","true","2017-10-01 13:10:26 GMT","",""
"c4c5c487acefbbd8ca7f6ad6332aa8f8","2017-10-01 13:10:34 GMT","","5","5","false","","5","","5","5","false","2017-10-01 13:11:26 GMT","5",""
"39a751a6e37b6e946cd861f884ec4ec6","2017-10-01 13:11:41 GMT","","5","5","false","","5","","5","5","false","2017-10-01 13:12:11 GMT","5",""
"51def6032477ae853827309aa350bd77","2017-10-01 13:46:59 GMT","","5","5","false","","5","","5","5","false","2017-10-01 13:47:40 GMT","5",""
"5780bad1c4c3be466adb308ef2262cf4","2017-10-01 13:48:33 GMT","","","","false","","","","","","true","2017-10-01 13:48:43 GMT","",""
"ed9286806b060c9237b1ea820e68e5e4","2017-10-01 23:42:21 GMT","","3","5","false","","5","","5","5","false","2017-10-01 23:43:22 GMT","5",""
"9fc24f69cbff3b21416f253d8ca4fc4d","2017-10-01 23:43:24 GMT","","5","5","false","","5","","5","5","false","2017-10-01 23:44:05 GMT","5",""
"5130bd5d64040cc509546a1d5a53ee26","2017-10-01 23:44:31 GMT","","3","5","false","","5","","5","5","false","2017-10-01 23:45:27 GMT","3",""
"623c5fc0decca0a7de2641dd5d11705a","2017-10-01 23:45:36 GMT","","5","5","false","","5","","5","5","false","2017-10-01 23:46:16 GMT","5",""
"4351308d1e306df0f541d51f0ef12859","2017-10-01 23:48:32 GMT","","3","5","false","","1","","5","1","false","2017-10-01 23:49:16 GMT","3",""
"727d43660adcabf52aca0b231186adf8","2017-10-01 23:49:20 GMT","","5","5","false","","5","","5","5","false","2017-10-01 23:50:04 GMT","5",""
"ac793f35c2ee446a8d3d4961a5446295","2017-10-03 15:17:11 GMT","","4","5","false","","3","","3","1","false","2017-10-03 15:17:58 GMT","4",""
"43f3ae6a22b8652ad0697e3df0bb9330","2017-10-03 15:18:02 GMT","","3","5","false","","3","","5","3","false","2017-10-03 15:19:03 GMT","5",""
"30d7b1a39e93c19016dac9767dace487","2017-10-03 15:19:09 GMT","","5","5","false","","3","","5","3","false","2017-10-03 15:20:15 GMT","1",""
"9fcf06523e78dd2f6476abaac5636e57","2017-10-03 15:20:19 GMT","","5","5","false","","5","","5","5","false","2017-10-03 15:20:48 GMT","5",""
"a02ba395f57c5f5d5c0213e5fabcd827","2017-10-03 15:20:52 GMT","","5","5","false","","5","","5","5","false","2017-10-03 15:21:19 GMT","5",""
"498f1bd1dfa2689e897ec5e7cfb3af49","2017-10-03 15:21:25 GMT","","4","5","false","","3","","4","4","false","2017-10-03 15:22:19 GMT","2",""
"67a9b883a4814524d51a50ecb15ba0e5","2017-10-04 00:15:40 GMT","","5","5","false","","5","","5","5","false","2017-10-04 00:16:45 GMT","5",""
"e4b13e8df31d4cce0a6eae3e9d82db0c","2017-10-04 00:16:52 GMT","","4","5","false","","1","","3","3","false","2017-10-04 00:19:01 GMT","5",""
"61b94a63e2694df2d160cff1f59231d7","2017-10-04 02:03:26 GMT","","5","5","false","","3","","5","3","false","2017-10-04 02:08:29 GMT","5",""
"f80a47be6c39604a7f4a10c5b3cbb818","2017-10-04 02:53:51 GMT","","","","false","","","","","","true","2017-10-04 02:54:13 GMT","",""
"055a5c4cd6506b2a3580ad92e2900d4c","2017-10-04 02:54:22 GMT","","5","5","false","","5","","5","5","false","2017-10-04 02:54:53 GMT","5",""
"63c0b029f58647871e91a0595f9a5e02","2017-10-04 02:54:59 GMT","","3","5","false","","1","","3","3","false","2017-10-04 02:55:50 GMT","4",""
