Time	Unique mission ID
2016-08-15 04:54:26 PDT	1
2016-11-05 00:16:23 PDT	2
2016-12-17 21:34:54 PST	3
2016-12-17 21:44:00 PST	4
2016-12-17 21:56:48 PST	5
2016-12-17 22:07:48 PST	6
2016-12-17 22:25:23 PST	7
2016-12-17 22:54:30 PST	8
2017-03-04 03:52:50 PST	9
2017-03-04 04:02:02 PST	10
2017-03-04 04:09:51 PST	11
2017-03-04 04:22:59 PST	12
2017-03-04 04:27:31 PST	13
2017-03-04 04:31:17 PST	14
2017-03-04 04:38:15 PST	15
2017-03-04 04:43:29 PST	16
2017-03-04 04:46:33 PST	17
2017-03-04 04:52:25 PST	18
2017-03-04 04:59:12 PST	19
2017-03-04 05:09:27 PST	20
2017-05-04 02:15:52 PDT	21
2017-05-04 02:20:06 PDT	22
2017-05-04 02:23:16 PDT	23
2017-05-04 02:27:20 PDT	24
2017-05-04 02:32:13 PDT	25
2017-05-04 02:35:57 PDT	26
2017-05-26 18:39:11 PDT	27
2017-05-26 18:46:51 PDT	28
2017-05-26 18:55:27 PDT	29
2017-05-26 19:21:58 PDT	30
2017-05-26 19:47:30 PDT	31
2017-05-26 19:55:15 PDT	32
2017-07-23 17:50:45 PDT	33
2017-07-23 18:15:37 PDT	34
2017-07-23 18:25:36 PDT	35
2017-07-23 18:39:16 PDT	36
2017-07-23 19:10:48 PDT	37
2017-07-23 19:49:42 PDT	38
2017-07-23 23:18:42 PDT	39
2017-07-23 23:24:04 PDT	40
2017-07-23 23:47:31 PDT	41
2017-07-24 00:02:10 PDT	42
2017-07-24 00:25:29 PDT	43
2017-07-24 00:51:50 PDT	44
2017-07-24 18:19:40 PDT	45
2017-07-24 18:32:50 PDT	46
2017-07-24 18:48:15 PDT	47
2017-07-24 18:54:05 PDT	48
2017-07-24 18:59:07 PDT	49
2017-07-24 19:06:11 PDT	50
2017-08-01 05:11:00 PDT	51
2017-08-01 05:15:15 PDT	52
2017-08-01 05:17:14 PDT	53
2017-08-01 05:21:30 PDT	54
2017-08-01 05:23:27 PDT	55
2017-08-01 05:25:29 PDT	56
2017-08-01 05:39:31 PDT	57
2017-08-01 05:45:56 PDT	58
2017-08-01 05:50:11 PDT	59
2017-08-01 05:59:35 PDT	60
2017-08-01 06:03:16 PDT	61
2017-08-01 06:05:57 PDT	62
2017-08-01 06:11:28 PDT	63
2017-08-01 06:20:03 PDT	64
2017-08-01 06:26:00 PDT	65
2017-08-01 06:29:12 PDT	66
2017-08-01 06:41:15 PDT	67
2017-08-01 06:49:41 PDT	68
2017-08-07 04:33:52 PDT	69
2017-08-07 04:40:28 PDT	70
2017-08-07 04:48:15 PDT	71
2017-08-07 04:59:36 PDT	72
2017-08-07 05:06:53 PDT	73
2017-08-07 05:14:13 PDT	74
2017-08-15 18:49:43 PDT	75
2017-08-15 19:05:20 PDT	76
2017-08-15 19:18:46 PDT	77
2017-08-15 19:25:38 PDT	78
2017-08-15 19:43:28 PDT	79
2017-08-15 19:57:41 PDT	80
2017-08-17 19:27:55 PDT	81
2017-08-17 19:34:57 PDT	82
