Time	Unique Portal ID
2016-07-15 02:41:11 PDT	1
2016-07-15 02:42:46 PDT	2
2016-07-15 02:49:47 PDT	3
2016-07-15 02:50:22 PDT	4
2016-07-17 01:15:43 PDT	5
2016-07-17 01:16:39 PDT	6
2016-07-17 01:45:53 PDT	7
2016-07-18 00:29:03 PDT	8
2016-07-18 02:07:36 PDT	9
2016-07-21 01:09:43 PDT	10
2016-07-21 01:40:26 PDT	11
2016-07-21 04:05:24 PDT	12
2016-07-21 04:06:16 PDT	13
2016-07-22 04:11:34 PDT	14
2016-07-23 20:35:00 PDT	15
2016-07-25 04:55:30 PDT	16
2016-07-25 05:06:20 PDT	17
2016-07-25 05:17:08 PDT	6
2016-07-26 03:50:17 PDT	18
2016-07-26 03:51:22 PDT	19
2016-07-27 04:07:14 PDT	12
2016-07-29 04:33:55 PDT	20
2016-07-29 04:34:51 PDT	21
2016-07-30 18:29:20 PDT	11
2016-07-30 19:17:03 PDT	22
2016-07-31 18:56:28 PDT	23
2016-07-31 18:57:31 PDT	24
2016-07-31 19:01:50 PDT	25
2016-07-31 19:06:17 PDT	26
2016-07-31 19:07:42 PDT	27
2016-07-31 19:08:28 PDT	28
2016-07-31 19:13:20 PDT	29
2016-07-31 19:15:24 PDT	30
2016-07-31 19:19:51 PDT	31
2016-07-31 19:24:50 PDT	32
2016-07-31 19:25:46 PDT	33
2016-08-04 04:07:16 PDT	8
2016-08-05 20:08:00 PDT	34
2016-08-06 19:37:25 PDT	35
2016-08-06 19:41:32 PDT	36
2016-08-09 04:07:15 PDT	8
2016-08-09 04:08:11 PDT	37
2016-08-10 03:39:29 PDT	38
2016-08-10 03:40:41 PDT	39
2016-08-13 18:29:24 PDT	40
2016-08-13 18:37:42 PDT	41
2016-08-13 18:39:59 PDT	11
2016-08-13 18:41:58 PDT	42
2016-08-13 20:46:52 PDT	43
2016-08-14 04:05:02 PDT	44
2016-08-15 05:09:00 PDT	16
2016-08-15 05:13:44 PDT	45
2016-08-15 05:16:31 PDT	46
2016-08-15 05:22:46 PDT	7
2016-08-15 05:25:30 PDT	12
2016-08-15 05:26:49 PDT	13
2016-08-20 05:43:22 PDT	9
2016-08-20 18:07:01 PDT	42
2016-08-20 18:08:13 PDT	11
2016-08-20 18:10:08 PDT	47
2016-08-20 20:07:13 PDT	48
2016-08-26 04:37:00 PDT	49
2016-08-26 04:39:03 PDT	50
2016-08-27 00:21:48 PDT	51
2016-08-27 00:28:42 PDT	52
2016-08-27 02:10:34 PDT	2
2016-08-27 02:11:39 PDT	1
2016-08-27 17:52:31 PDT	53
2016-08-27 18:24:52 PDT	54
2016-08-27 18:25:23 PDT	55
2016-08-27 18:26:26 PDT	56
2016-08-27 19:01:24 PDT	57
2016-08-27 19:01:54 PDT	58
2016-08-28 00:11:41 PDT	59
2016-08-28 00:45:07 PDT	60
2016-09-01 04:59:15 PDT	50
2016-09-01 05:12:21 PDT	9
2016-09-01 05:26:04 PDT	7
2016-09-02 04:21:25 PDT	40
2016-09-02 04:22:47 PDT	45
2016-09-02 04:25:40 PDT	46
2016-09-02 04:47:26 PDT	9
2016-09-03 00:30:26 PDT	61
