Time	Unique Portal ID
2016-07-17 01:45:34 PDT	1
2016-07-21 01:09:26 PDT	2
2016-07-21 01:40:18 PDT	3
2016-07-25 05:05:56 PDT	4
2016-07-26 03:50:05 PDT	5
2016-07-26 03:51:15 PDT	6
2016-07-27 04:07:07 PDT	7
2016-07-30 18:29:12 PDT	3
2016-07-31 18:56:21 PDT	8
2016-07-31 19:13:07 PDT	9
2016-07-31 19:24:21 PDT	10
2016-07-31 19:24:36 PDT	11
2016-08-04 04:07:07 PDT	12
2016-08-04 04:17:28 PDT	13
2016-08-05 23:22:12 PDT	14
2016-08-06 19:37:18 PDT	15
2016-08-06 19:39:44 PDT	16
2016-08-06 19:41:16 PDT	17
2016-08-06 19:42:31 PDT	18
2016-08-09 04:08:08 PDT	19
2016-08-10 03:39:18 PDT	20
2016-08-10 03:40:35 PDT	21
2016-08-10 04:10:50 PDT	22
2016-08-15 05:13:28 PDT	23
2016-08-15 05:22:14 PDT	1
2016-08-20 18:06:49 PDT	24
2016-08-20 18:08:05 PDT	3
2016-08-20 18:09:45 PDT	25
2016-08-20 20:06:30 PDT	26
2016-08-26 04:36:52 PDT	27
2016-08-27 00:28:35 PDT	28
2016-08-27 02:27:59 PDT	15
2016-08-27 02:45:20 PDT	13
2016-09-01 04:59:05 PDT	29
2016-09-01 05:11:37 PDT	30
2016-09-01 05:25:21 PDT	1
2016-09-03 00:30:21 PDT	31
2016-09-03 05:50:17 PDT	32
2016-09-11 00:55:15 PDT	17
2016-09-11 00:55:16 PDT	18
2016-09-11 00:55:39 PDT	33
2016-09-11 01:29:17 PDT	34
2016-09-11 01:29:50 PDT	35
2016-09-11 01:33:11 PDT	36
2016-09-11 01:33:13 PDT	37
2016-09-16 01:22:16 PDT	38
2016-09-16 01:22:21 PDT	39
2016-09-18 02:25:08 PDT	4
2016-09-18 03:44:49 PDT	40
2016-09-24 20:29:37 PDT	41
2016-09-28 03:57:26 PDT	42
2016-09-29 03:43:34 PDT	43
2016-09-29 03:54:51 PDT	44
2016-09-29 04:01:16 PDT	29
2016-09-29 04:04:04 PDT	7
2016-09-29 04:04:07 PDT	32
2016-10-01 21:56:57 PDT	45
2016-10-15 21:35:36 PDT	4
